time_days,altitude_km,orbital_speed_m_s,density_kg_m3
0.0,280.0,7737.355017805188,3.888063076807171e-11
0.041666666666666664,279.96010292297507,7737.378199908264,3.888063076807171e-11
0.08333333333333333,279.9202059654873,7737.401382150254,3.888063076807171e-11
0.125,279.88030912753754,7737.424564531158,3.888063076807171e-11
0.16666666666666666,279.840412409123,7737.447747050977,3.888063076807171e-11
0.20833333333333334,279.80051581024566,7737.470929709715,3.888063076807171e-11
0.25,279.76061933090443,7737.494112507371,3.888063076807171e-11
0.2916666666666667,279.7207229711004,7737.517295443946,3.888063076807171e-11
0.3333333333333333,279.68082673083245,7737.540478519443,3.888063076807171e-11
0.375,279.6409306101007,7737.563661733861,3.888063076807171e-11
0.4166666666666667,279.601034608908,7737.586845087203,3.888063076807171e-11
0.4583333333333333,279.56113872724865,7737.61002857947,3.888063076807171e-11
0.5,279.5212429651273,7737.633212210662,3.888063076807171e-11
0.5416666666666666,279.48092548655535,7737.656641115147,3.976156874777928e-11
0.5833333333333334,279.4401260332679,7737.680350316787,3.976156874777928e-11
0.625,279.3993267049966,7737.704059663722,3.976156874777928e-11
0.6666666666666666,279.35852750173956,7737.727769155956,3.976156874777928e-11
0.7083333333333334,279.3177284234976,7737.751478793489,3.976156874777928e-11
0.75,279.2769294702709,7737.775188576322,3.976156874777928e-11
0.7916666666666666,279.2361306420565,7737.7988985044585,3.976156874777928e-11
0.8333333333333334,279.19533193885815,7737.822608577897,3.976156874777928e-11
0.875,279.154533360675,7737.846318796641,3.976156874777928e-11
0.9166666666666666,279.11373490750606,7737.870029160691,3.976156874777928e-11
0.9583333333333334,279.07293657935224,7737.8937396700485,3.976156874777928e-11
1.0,279.0321383762136,7737.917450324714,3.976156874777928e-11
1.0416666666666667,278.9913402980883,7737.941161124691,3.976156874777928e-11
1.0833333333333333,278.9505423449781,7737.964872069978,3.976156874777928e-11
1.125,278.90974451688214,7737.988583160579,3.976156874777928e-11
1.1666666666666667,278.8689468138022,7738.0122943964925,3.976156874777928e-11
1.2083333333333333,278.8281492357366,7738.036005777722,3.976156874777928e-11
1.25,278.7873517826861,7738.059717304268,3.976156874777928e-11
1.2916666666666667,278.7465544546498,7738.083428976132,3.976156874777928e-11
1.3333333333333333,278.70575725162684,7738.107140793317,3.976156874777928e-11
1.375,278.66496017361993,7738.130852755821,3.976156874777928e-11
1.4166666666666667,278.6241632206282,7738.1545648636475,3.976156874777928e-11
1.4583333333333333,278.58336639265065,7738.178277116798,3.976156874777928e-11
1.5,278.54256968968923,7738.201989515272,3.976156874777928e-11
1.5416666666666667,278.50177311174104,7738.225702059073,3.976156874777928e-11
1.5833333333333333,278.46009589100163,7738.249926691514,4.066517578587395e-11
1.625,278.4183724446772,7738.274178420183,4.066517578587395e-11
1.6666666666666667,278.3766491291104,7738.298430300865,4.066517578587395e-11
1.7083333333333333,278.3349259443106,7738.322682333556,4.066517578587395e-11
1.75,278.29320289028715,7738.346934518251,4.066517578587395e-11
1.7916666666666667,278.2514799670214,7738.371186854964,4.066517578587395e-11
1.8333333333333333,278.2097571745133,7738.395439343696,4.066517578587395e-11
1.875,278.1680345127629,7738.419691984447,4.066517578587395e-11
1.9166666666666667,278.1263119817702,7738.443944777219,4.066517578587395e-11
1.9583333333333333,278.08458958153517,7738.468197722014,4.066517578587395e-11
2.0,278.04286731205787,7738.492450818834,4.066517578587395e-11
2.0416666666666665,278.00114517335874,7738.516704067668,4.066517578587395e-11
2.0833333333333335,277.9594231654247,7738.540957468524,4.066517578587395e-11
2.125,277.9177012882484,7738.565211021409,4.066517578587395e-11
2.1666666666666665,277.8759795418298,7738.589464726323,4.066517578587395e-11
2.2083333333333335,277.83425792616885,7738.613718583269,4.066517578587395e-11
2.25,277.7925364412656,7738.637972592247,4.066517578587395e-11
2.2916666666666665,277.75081508712003,7738.66222675326,4.066517578587395e-11
2.3333333333333335,277.70909386373495,7738.686481066307,4.066517578587395e-11
2.375,277.66737277113276,7738.7107355313765,4.066517578587395e-11
2.4166666666666665,277.6256518092882,7738.734990148485,4.066517578587395e-11
2.4583333333333335,277.58393097820135,7738.759244917632,4.066517578587395e-11
2.5,277.5422102778722,7738.783499838822,4.066517578587395e-11
2.5416666666666665,277.5004897083007,7738.8077549120535,4.066517578587395e-11
2.5833333333333335,277.4578341037007,7738.832553822068,4.15921386249525e-11
2.625,277.4151627855757,7738.857362106071,4.15921386249525e-11
2.6666666666666665,277.3724916042434,7738.882170549131,4.15921386249525e-11
2.7083333333333335,277.32982055970376,7738.906979151246,4.15921386249525e-11
2.75,277.2871496519567,7738.931787912418,4.15921386249525e-11
2.7916666666666665,277.2444788810024,7738.956596832651,4.15921386249525e-11
2.8333333333333335,277.2018082468407,7738.9814059119435,4.15921386249525e-11
2.875,277.1591377494717,7739.006215150298,4.15921386249525e-11
2.9166666666666665,277.11646738889533,7739.031024547718,4.15921386249525e-11
2.9583333333333335,277.0737971651116,7739.0558341042015,4.15921386249525e-11
3.0,277.03112707810106,7739.080643819763,4.15921386249525e-11
3.0416666666666665,276.9884571278803,7739.105453694396,4.15921386249525e-11
3.0833333333333335,276.9457873144522,7739.130263728099,4.15921386249525e-11
3.125,276.9031176378168,7739.155073920872,4.15921386249525e-11
3.1666666666666665,276.8604480979741,7739.179884272719,4.15921386249525e-11
3.2083333333333335,276.81777869492396,7739.204694783641,4.15921386249525e-11
3.25,276.77510942866655,7739.229505453638,4.15921386249525e-11
3.2916666666666665,276.73244029920176,7739.254316282712,4.15921386249525e-11
3.3333333333333335,276.6897713065296,7739.279127270867,4.15921386249525e-11
3.375,276.6471024506502,7739.303938418101,4.15921386249525e-11
3.4166666666666665,276.6044337315634,7739.328749724418,4.15921386249525e-11
3.4583333333333335,276.5617651492627,7739.353561189822,4.15921386249525e-11
3.5,276.5190967037389,7739.378372814322,4.15921386249525e-11
3.5416666666666665,276.4758917963896,7739.40349663356,4.254316680582429e-11
3.5833333333333335,276.4322479954995,7739.428875919492,4.254316680582429e-11
3.625,276.38860433772953,7739.454255371872,4.254316680582429e-11
3.6666666666666665,276.3449608230777,7739.479634990703,4.254316680582429e-11
3.7083333333333335,276.3013174515432,7739.505014775987,4.254316680582429e-11
3.75,276.2576742231259,7739.530394727725,4.254316680582429e-11
3.7916666666666665,276.214031137825,7739.555774845921,4.254316680582429e-11
3.8333333333333335,276.17038819564505,7739.581155130573,4.254316680582429e-11
3.875,276.1267453965824,7739.6065355816845,4.254316680582429e-11
3.9166666666666665,276.083102740637,7739.631916199258,4.254316680582429e-11
3.9583333333333335,276.0394602278089,7739.657296983293,4.254316680582429e-11
4.0,275.99581785809715,7739.682677933794,4.254316680582429e-11
4.041666666666667,275.9521756315073,7739.708059050759,4.254316680582429e-11
4.083333333333333,275.9085335480338,7739.733440334193,4.254316680582429e-11
4.125,275.8648916076776,7739.758821784096,4.254316680582429e-11
4.166666666666667,275.8212498104386,7739.78420340047,4.254316680582429e-11
4.208333333333333,275.7776081563169,7739.809585183316,4.254316680582429e-11
4.25,275.73396664531623,7739.834967132635,4.254316680582429e-11
4.291666666666667,275.6903252774319,7739.860349248431,4.254316680582429e-11
4.333333333333333,275.6466840526648,7739.885731530705,4.254316680582429e-11
4.375,275.603042971015,7739.911113979458,4.254316680582429e-11
4.416666666666667,275.5594020324834,7739.936496594691,4.254316680582429e-11
4.458333333333333,275.51576123707184,7739.961879376406,4.254316680582429e-11
4.5,275.4714866184453,7739.987631063705,4.351899451242303e-11
4.541666666666667,275.42684511521924,7740.013596404331,4.351899451242303e-11
4.583333333333333,275.3822037617499,7740.039561919171,4.351899451242303e-11
4.625,275.33756255803723,7740.065527608227,4.351899451242303e-11
4.666666666666667,275.2929215040812,7740.091493471499,4.351899451242303e-11
4.708333333333333,275.24828059989306,7740.117459508984,4.351899451242303e-11
4.75,275.203639845469,7740.143425720686,4.351899451242303e-11
4.791666666666667,275.1589992408017,7740.169392106609,4.351899451242303e-11
4.833333333333333,275.114358785891,7740.195358666757,4.351899451242303e-11
4.875,275.0697184807369,7740.22132540113,4.351899451242303e-11
4.916666666666667,275.0250783253396,7740.247292309731,4.351899451242303e-11
4.958333333333333,274.9804383196989,7740.273259392562,4.351899451242303e-11
5.0,274.9357984638149,7740.299226649624,4.351899451242303e-11
5.041666666666667,274.89115875768755,7740.325194080919,4.351899451242303e-11
